,rank,name,headquarter,category,description,link,year
0,1,Yokoy Group AG,Zurich,Fintech,Your expenses and company credit cards on autopilot,https://www.top100startups.swiss/yokoy,2022
1,2,Planted Foods AG,Kemptthal,Foodtech,Planted meats,https://www.top100startups.swiss/Planted,2022
2,3,Ledgy AG,Zurich,Fintech,Your equity set for growth,https://www.top100startups.swiss/Ledgy,2022
3,4,CUTISS AG,Schlieren,Biotech,Personalized skin,https://www.top100startups.swiss/CUTISS,2022
4,5,CREAL SA,Ecublens,Engineering,Enabling Augmented Reality within arm's reach,https://www.top100startups.swiss/CREAL,2022
5,6,9T Labs AG,Zürich,Engineering,3D carbon fiber printing technology,https://www.top100startups.swiss/9T,2022
6,7,Carvolution AG,Bannwil,ICT,Car Subscription Model for Switzerland,https://www.top100startups.swiss/Carvolution,2022
7,8,HAYA Therapeutics SA,Epalinges,Biotech,Treating heart failure through innovative RNA-therapies,https://www.top100startups.swiss/HAYA,2022
8,9,Bloom Biorenewables SA,Marly,Cleantech,Making biomass a true alternative to petroleum,https://www.top100startups.swiss/Bloom,2022
9,10,Daphne Technology SA,St-Sulpice VD,Cleantech,Climate tech comp reducing toxic pollutants & GHG emissions,https://www.top100startups.swiss/Daphne,2022
10,11,ClearSpace SA,Renens,Cleantech,Remove failed satellites and space debris,https://www.top100startups.swiss/ClearSpace,2022
11,12,Resistell AG,Muttenz,Medtech,Revolutionary alternative for antibiotic susceptibility testing,https://www.top100startups.swiss/Resistell,2022
12,13,aktiia SA,Neuchatel,Medtech,Reinventing Blood Pressure Monitoring,https://www.top100startups.swiss/aktiia,2022
13,14,TOLREMO therapeutics AG,Muttenz,Biotech,Development of resistance-breaking cancer therapies,https://www.top100startups.swiss/TOLREMO,2022
14,15,Volumina Medical SA,Epalinges,Medtech,Dynamic biomaterials for reconstructive and plastic surgery,https://www.top100startups.swiss/Volumina,2022
15,16,Neural Concept SA,Lausanne,ICT,Optimizing engineering processes,https://www.top100startups.swiss/Neural,2022
16,17,inyova AG,Zurich,Fintech,We create a more sustainable world through investing,https://www.top100startups.swiss/Inyova,2022
17,18,dq technologies AG (Decentriq),Zürich,Security,Data clean rooms powered by confidential computing,https://www.top100startups.swiss/Decentriq,2022
18,19,Araris Biotech AG,Au,Biotech,Building tomorrow's antibody-drug conjugates (ADCs),https://www.top100startups.swiss/Araris,2022
19,20,Sygnum Bank AG,Zurich,Fintech,Digital asset specialist with global reach,https://www.top100startups.swiss/Sygnum,2022
20,21,AgroSustain SA,Renens,Foodtech,AgroSustain – a one-stop-shop solution for biological plant,https://www.top100startups.swiss/AgroSustain,2022
21,22,Archlet AG,Zürich,ICT,Cloud-based AI and data-backed strategic sourcing platform,https://www.top100startups.swiss/Archlet,2022
22,23,neon Switzerland AG,Zürich,Fintech,Mobile Banking solution,https://www.top100startups.swiss/Neon,2022
23,24,Nanoleq AG,Rümlang,Engineering,The future of health-monitoring textiles,https://www.top100startups.swiss/Nanoleq,2022
24,25,Unique AG,Zürich,ICT,Sales Intelligence Platform,https://www.top100startups.swiss/Unique,2022
25,26,Voliro AG,Zürich,Robotics,Aerial robots for in-depth inspection and maintenance,https://www.top100startups.swiss/Voliro,2022
26,27,IMburse AG,Zurich,Fintech,Integration-free access to global payments ecosystem,https://www.top100startups.swiss/IMburse,2022
27,28,DePoly SA,Sion,Cleantech,Closing the loop on PET plastic recycling,https://www.top100startups.swiss/DePoly,2022
28,29,EraCal Therapeutics AG,Schlieren,Biotech,We develop the next generation anti-obesity drug,https://www.top100startups.swiss/EraCal,2022
29,30,Anaveon AG,Basel,Biotech,Immunotherapies for cancer,https://www.top100startups.swiss/Anaveon,2022
30,31,Skribble AG,Zurich,ICT,Digital signature solution,https://www.top100startups.swiss/Skribble,2022
31,32,Tinamu Labs AG,Zürich,Robotics,Automated drone-based indoor monitoring,https://www.top100startups.swiss/Tinamu,2022
32,33,Bright Peak Therapeutics AG,Basel,Biotech,Next-generation engineered cytokines,https://www.top100startups.swiss/BrightPeak,2022
33,34,Relai AG,Zürich,Fintech,Relai is Europe's easiest Bitcoin app,https://www.top100startups.swiss/Relai,2022
34,35,Oculis SA,Lausanne,Biotech,Next Generation of Topical Ophthalmic Treatments,https://www.top100startups.swiss/Oculis,2022
35,36,Kitro SA,Zürich,Foodtech,Automatically manage and monitor food waste.,https://www.top100startups.swiss/Kitro,2022
36,37,Exnaton AG ,Zürich,Cleantech,The platform for renewable energy and sustainable lifestyles,https://www.top100startups.swiss/Exnaton,2022
37,38,TYXIT SA,Yverdon-les-Bains,ICT,Ultra-low latency SaaS platform for musicians and gamers,https://www.top100startups.swiss/TYXIT,2022
38,39,Qnami AG,Muttenz,Engineering,The quantum wave,https://www.top100startups.swiss/Qnami,2022
39,40,GlycoEra AG,Schlieren,Biotech,Glycobiology and protein degradation,https://www.top100startups.swiss/GlycoEra,2022
40,41,STALICLA SA,Geneva,Biotech,Precision medicine for neurodevelopmental disorders,https://www.top100startups.swiss/STALICLA,2022
41,42,ArcoScreen SA,Lausanne,Biotech,We screen patients cells to improve drug discovery,https://www.top100startups.swiss/ArcoScreen,2022
42,43,hemotune AG,Schlieren,Medtech,Magnetic Blood Purification,https://www.top100startups.swiss/hemotune,2022
43,44,Microcaps AG,Schlieren,Engineering,Microencapsulation with Swiss precision,https://www.top100startups.swiss/Microcaps,2022
44,45,Tune Insight SA,Lausanne,Security,Data collaborations with federated confidential computing,https://www.top100startups.swiss/Tune,2022
45,46,Annaida Technologies SA,Lausanne,Biotech,Non invasive chemical analysis at embryo scale,https://www.top100startups.swiss/Annaida,2022
46,47,Sleepiz AG,Zurich,Medtech,Touching lives without touching,https://www.top100startups.swiss/Sleepiz,2022
47,48,Anapaya Systems AG,Zurich,Security,Securing and Optimizing Internet Communication,https://www.top100startups.swiss/Anapaya,2022
48,49,ZYTLYN TECHNOLOGIES AG,Plan-les-Ouates,ICT,Predictive travel intelligence,https://www.top100startups.swiss/ZYTLYN,2022
49,50,Alpian SA,Servette - Petit-Saconnex,Fintech,Innovative Wealth Management,https://www.top100startups.swiss/Alpian,2022
50,51,Alentis Therapeutics,Allschwil,Biotech,developing breakthrough treatments for fibrotic diseases,https://www.top100startups.swiss/alentis,2022
51,52,Corintis SA,Lausanne,Engineering,Enabling the computing of tomorrow with in chip cooling,https://www.top100startups.swiss/Corintis,2022
52,53,Cultivated Biosciences SA,Wädenswil,Foodtech,Production of dairy fats by microbial fermentation.,https://www.top100startups.swiss/Cultivated,2022
53,54,Invasight AG,Zürich,Biotech,Advanced targeted therapies for invasive cancers,https://www.top100startups.swiss/Invasight,2022
54,55,Positrigo AG,Zurich,Medtech,Cost-effective functional brain imaging for everyone,https://www.top100startups.swiss/Positrigo,2022
55,56,Dufour Aerospace AG,Visp,Robotics,Advanced electric aircraft,https://www.top100startups.swiss/DufourAerospace,2022
56,57,Resmonics AG,Zurich,Medtech,Unlocking the power of sound for medicine.,https://www.top100startups.swiss/Resmonics,2022
57,58,WYTH SA,Lugano,ICT,WYTH is the tool to make Hi-End Hybrid Communities and Event,https://www.top100startups.swiss/WYTH,2022
58,59,Miraex SA,Ecublens,Engineering,Photonic sensing and quantum solutions,https://www.top100startups.swiss/Miraex,2022
59,60,EBAMed SA,Geneva,Medtech,Non-invasive and automated treatments of heart arrhythmias,https://www.top100startups.swiss/EBAMed,2022
60,61,Leva Capital Partners AG,Zürich,Fintech,Private equity investments,https://www.top100startups.swiss/LevaCapital,2022
61,62,CYSEC SA,Lausanne,Security,Confidential Computing solution for data in use protection,https://www.top100startups.swiss/CYSEC,2022
62,63,Auterion AG,Zürich,Robotics,Open source infrastructure for autonomous robots,https://www.top100startups.swiss/Auterion,2022
63,64,LatticeFlow AG,Zürich,ICT,Build and Deploy Trustworthy AI,https://www.top100startups.swiss/LatticeFlow,2022
64,65,Adiposs SA,Plan-les-Ouates,Medtech,Imaging Body Fat - Saving Lives,https://www.top100startups.swiss/Adiposs,2022
65,66,xFarm Technologies SA,Manno,ICT,xFarm is a digital platform for the Farmers,https://www.top100startups.swiss/xFarm,2022
66,67,Imverse SA,Morges,ICT,3D Holograms: real-time volumetric video for telepresence,https://www.top100startups.swiss/Imverse,2022
67,68,Luya Foods AG ,Bern,Foodtech,Smart processing for a world without wasted food resources,https://www.top100startups.swiss/Luyafoods,2022
68,69,Threatray AG,Biel/Bienne,Security,Code-based threat intelligence and analytics at scale,https://www.top100startups.swiss/threatray,2022
69,70,IDUN Technologies AG,Opfikon,Medtech,Enabling the Internet of Humans,https://www.top100startups.swiss/IDUN,2022
70,71,CDR-Life AG,Schlieren,Biotech,In CDR-Life we make transformative cancer immunotherapies,https://www.top100startups.swiss/CDR-Life,2022
71,72,NextImmune AG,Basel,Biotech,Novel Therapy for Autoimmunity and Organ Transplantation.,https://www.top100startups.swiss/NextImmune,2022
72,73,Neurosoft Bioelectronics SA,Geneva,Medtech,Soft implantable electrodes for the nervous system,https://www.top100startups.swiss/Neurosoft,2022
73,74,Plastogaz SA,Lausanne,Cleantech,Plastogaz develops advanced plastic recycling technologies,https://www.top100startups.swiss/Plastogaz,2022
74,75,Urbio SA,Sion,Proptech,Accelerate your transition to clean energy,https://www.top100startups.swiss/Urbio,2022
75,76,Mobyfly SA,Collonges,Cleantech,Zero-emission hydrofoil boats,https://www.top100startups.swiss/Mobyfly,2022
76,77,Terapet SA,Satigny,Medtech,Better Dose Control in Proton Therapy For Cancer Treatment,https://www.top100startups.swiss/Terapet,2022
77,78,Synthara AG,Zug,Engineering,AI chips for the edge,https://www.top100startups.swiss/Synthara,2022
78,79,Synendos Therapeutics AG,Basel,Biotech,Development of a new class of modulators of the endocannabinoid system,https://www.top100startups.swiss/Synendos,2022
79,80,EarlySight SA,Geneva,Medtech,Imaging early signs of retinal diseases years in advance,https://www.top100startups.swiss/EarlySight,2022
