,rank,name,headquarter,category,description,link,year
80,81,Flybotix SA,Renens,Robotics,Doubling flight time of prof. indoor inspection drones,https://www.top100startups.swiss/Flybotix,2022
81,82,Nagi Bioscience SA,Ecublens,Biotech,“Organism-on-Chip” technology for drug/chemical screening,https://www.top100startups.swiss/Nagi,2022
82,83,SEED Biosciences SA,Epalinges,Biotech,Isolate single cells reliably and cost-effectively,https://www.top100startups.swiss/SEED,2022
83,84,Lumendo AG ,Renens,Medtech,Revolutionize dental root canal treatments,https://www.top100startups.swiss/Lumendo,2022
84,85,LARGO FILMS SA,Lausanne,ICT,Next generation storytelling,https://www.top100startups.swiss/Largo,2022
85,86,LEDCity AG,Zürich,Proptech,The most efficient AI optimized lighting system,https://www.top100startups.swiss/LEDCity,2022
86,87,PEROVSKIA SOLAR AG,Aubonne,Cleantech,Enabling a Solar Cell on Every Device,https://www.top100startups.swiss/PEROVSKIA,2022
87,88,Correntics GmbH,Zürich,ICT,Climate-risk analytics for global supply chains.,https://www.top100startups.swiss/Correntics,2022
88,89,rready AG,Zürich,ICT,Turnkey B2B SaaS products for employee driven innovation,https://www.top100startups.swiss/rready,2022
89,90,matriq AG,St. Gallen,Engineering,The unique individual watermark for plastics products,https://www.top100startups.swiss/matriq,2022
90,91,Terra Quantum AG,St. Gallen,ICT,Deeptech applications based on quantum computing,https://www.top100startups.swiss/TerraQuantum,2022
91,92,Swiss Organic Partners AG,Mönchaltorf,Foodtech,High Quality Swiss Organic CBD,https://www.top100startups.swiss/SwissOrganic,2022
92,93,Impaakt SA,Plan-les-Ouates,Fintech,Measuring the impact of businesses. Together.,https://www.top100startups.swiss/Impaakt,2022
93,94,Energy Vault SA ,Lugano,Cleantech,Concrete energy storage technology,https://www.top100startups.swiss/EnergyVault,2022
94,95,Oxygen at Work AG ,Zurich,Proptech,Creating healthy spaces for humans and the environment.,https://www.top100startups.swiss/Oxygen,2022
95,96,Biospectal SA,Lausanne,Medtech,The Optical Revolution in Blood Pressure Management,https://www.top100startups.swiss/Biospectal,2022
96,97,Talent Maps AG (CoffeeCall),St Gallen,ICT,Informal breaks in your hybrid workplace,https://www.top100startups.swiss/CoffeeCall,2022
97,98,CareerFairy AG,Zürich,ICT,Twitch for Graduate Careers,https://www.top100startups.swiss/CareerFairy,2022
98,99,Visium SA,Lausanne,ICT,AI EnterpriseTech Tailored Solutions and SaaS Company,https://www.top100startups.swiss/Visium,2022
99,100,The Food Detective SA,Geneva,Foodtech,We make restaurants lives much easier.,https://www.top100startups.swiss/Foodetective,2022
