,rank,name,headquarter,category,description,link,year
0,1,HouseTrip SA ,London,ICT,Online marketplace for holiday rentals.,https://www.top100startups.swiss/HouseTrip,2012
1,2,InSphero AG,Schlieren,Biotech,Market leader in 3D cell culture,https://www.top100startups.swiss/InSphero,2012
2,3,GetYourGuide AG,Zürich,ICT,Booking website for tours and activities,https://www.top100startups.swiss/GetYourGuide,2012
3,4,Malcisbo AG,Schlieren,Biotech,Platform to identify carbohydrate targets in pathogenic organisms,https://www.top100startups.swiss/Malcisbo,2012
4,5,BioVersys AG,Basel,Biotech,Novel antibacterial therapies - new targets,https://www.top100startups.swiss/BioVersys,2012
5,6,Optotune AG,Dietikon,Engineering,"Inexpensive, scalable, precisely focus tunable lenses based",https://www.top100startups.swiss/Optotune,2012
6,7,Abionic SA,Epalinges,Medtech,The revolutionary in vitro diagnostic point-of-care platform,https://www.top100startups.swiss/Abionic,2012
7,8,Lemoptix SA,Lausanne,Engineering,Development of next generation optical MEMS (micro-electro-mechanical systems) for mobile applications.,https://www.top100startups.swiss/Lemoptix,2012
8,9,Dacuda AG ,Zürich,ICT,Scanning redefined,https://www.top100startups.swiss/Dacuda,2012
9,10,Bcomp AG,Fribourg,Cleantech,Superior products from natural fibers,https://www.top100startups.swiss/Bcomp,2012
10,11,Biognosys AG,Zürich - Schlieren,Biotech,New standard in multiplexed protein quantification,https://www.top100startups.swiss/Biognosys,2012
11,12,Kandou Bus SA,Lausanne,Engineering,Low power consumption chip connections,https://www.top100startups.swiss/Kandou,2012
12,13,ProteoMediX AG,Schlieren,Biotech,Markers for prostate cancer,https://www.top100startups.swiss/ProteoMediX,2012
13,14,Climeworks AG,Zürich,Cleantech,Capturing CO2 from air,https://www.top100startups.swiss/Climeworks,2012
14,15,joiz AG,Zürich,ICT,"This television station, which links the world of TV with Web 2.0 and targets viewers between the ages of 15 and 35, has gotten off to a good start.",https://www.top100startups.swiss/joiz,2012
15,16,QualySense AG,Glattbrugg,Engineering,"Sorting robot for grains, seeds and beans",https://www.top100startups.swiss/QualySense,2012
16,17,Poken SA (acquired by GES),Lausanne,ICT,Collect people and things with a touch,https://www.top100startups.swiss/Poken,2012
17,18,L.E.S.S. SA,Renens,Cleantech,Nano active fiber lighting systems,https://www.top100startups.swiss/LESS,2012
18,19,SWISSto12 SA,Renens,Engineering,Disruptive antenna systems for the telecoms industry.,https://www.top100startups.swiss/SWISSto12,2012
19,20,Lightbend Sàrl (Typesafe),Lausanne,ICT,Scala programming language,https://www.top100startups.swiss/Lightbend,2012
20,21,Aleva Neurotherapeutics SA,Lausanne,Medtech,Better therapies for neurological diseases,https://www.top100startups.swiss/Aleva,2012
21,22,Aïmago SA  (acquired by Novadaq),Lausanne,Medtech,Taking the Guesswork out of Tissue Perfusion Assessment.,https://www.top100startups.swiss/Aimago,2012
22,23,Silp AG (acquired by x28),Thalwil,ICT,"Silp gleicht Jobs mit deinen Interessen und deinem sozialen Netzwerk ab, um die besten Angebote für dich zu finden.",https://www.top100startups.swiss/Silp,2012
23,24,Attolight SA,Lausanne,Engineering,Ultrafast spectroscopy for NanoPhotonics,https://www.top100startups.swiss/Attolight,2012
24,26,Celeroton AG,Volketswil,Engineering,Ultra-highspeed electrical drive systems for renewable energy generation,https://www.top100startups.swiss/Celeroton,2012
25,27,Coatmaster AG,Winterthur,Engineering,Measuring industrial coatings,https://www.top100startups.swiss/Coatmaster,2012
26,28,Biocartis SA,Lausanne,Biotech,Molecular diagnostics platform,https://www.top100startups.swiss/Biocartis,2012
27,29,Koemei SA ,Martigny,ICT,World’s first cloud based speech recognition solution specifically designed for multiparty conversations,https://www.top100startups.swiss/Koemei,2012
28,30,UrbanFarmers AG,Zürich,Cleantech,"Urban farms in acant urban areas to provide organic, healthy and local food to its communities",https://www.top100startups.swiss/UrbanFarmers,2012
29,31,Searchbox SA,,ICT,Semantic engine software.,https://www.top100startups.swiss/Searchbox,2012
30,32,Limmex,Zürich,Engineering,Bringing women's health to the 21st century,https://www.top100startups.swiss/Limmex,2012
31,33,Credentis AG,Windisch,Medtech,Treating initial caries without drilling,https://www.top100startups.swiss/Credentis,2012
32,34,Jilion SA (acquired by Dailymotion),Lausanne,ICT,"The creator of SublimeVideo, the world's first cloud-based HTML5 video player.",https://www.top100startups.swiss/Jilion,2012
33,35,Uepaa AG,Zürich,ICT,The industry-leading Safety and Proximity Expert,https://www.top100startups.swiss/Uepaa,2012
34,36,VirtaMed AG,Schlieren,Medtech,Simulators for medical training and education,https://www.top100startups.swiss/VirtaMed,2012
35,37,Swisstom AG ,Landquart,Medtech,Medical devices to monitor the lung and heart function of patients,https://www.top100startups.swiss/Swisstom,2012
36,38,Coople (Schweiz) AG ,Zürich,ICT,Internet platform for the efficient management of short notice and short-term work assignments,https://www.top100startups.swiss/Coople,2012
37,39,Lotaris SA,Yverdon-les-Bains,ICT,A thinking mobile app environment.,https://www.top100startups.swiss/Lotaris,2012
38,40,StereoTools SA,Neuchâtel,Medtech,Guide for needle or electrode placement during stereotactic neurosurgery.,https://www.top100startups.swiss/StereoTools,2012
39,41,compliant concept AG,Fehraltorf,Medtech,New solution for the therapy and prevention of pressure ulcers,https://www.top100startups.swiss/Compliant,2012
40,42,THELKIN GmbH,Winterthur,Medtech,Characterization of orthopaedic implants and other medical devices,https://www.top100startups.swiss/THELKIN,2012
41,43,Advanced Osteotomy Tools - AOT AG,Basel,Medtech,Cutting bones with laser,https://www.top100startups.swiss/AOT,2012
42,44,Stemergie Biotechnology SA,Geneva,Biotech,Targeting the roots of cancer in developing treatments and diagnostics,https://www.top100startups.swiss/Stemergie,2012
43,45,Agile Wind Power AG,Dübendorf,Cleantech,Commercial on-site power generation via wind energy,https://www.top100startups.swiss/Agile,2012
44,46,c-crowd AG,Zürich,ICT,Online lending platform,https://www.top100startups.swiss/c-crowd,2012
45,47,Goodshine AG (acquired by Ringier),Zürich,ICT,Swiss marketleader in online couponing,https://www.top100startups.swiss/deindeal,2012
46,48,PRECLIN Biosystems SA ,Epalinges,Biotech,In vivo preclinical testing platform,https://www.top100startups.swiss/Preclin,2012
47,49,Zurich Instruments AG,Zürich,Engineering,Instruments for dynamic signal analysis,https://www.top100startups.swiss/zurichinstruments,2012
48,50,Koubachi ,Zürich ,ICT,App to manage home plants,https://www.top100startups.swiss/Koubachi,2012
49,51,ActLight SA,Ecublens,Engineering,Developing high performance photodetectors for mobile applications,https://www.top100startups.swiss/ActLight,2012
50,52,Aeon Scientific AG,Schlieren - Zurich,Medtech,Electromagnetic guidance of medical instruments in the human body,https://www.top100startups.swiss/Aeon,2012
51,53,Virometix AG,Schlieren,Biotech,Vaccines using its Synthetic Virus-Like Particle (SVLP) technology,https://www.top100startups.swiss/Virometix,2012
52,54,THE ROKKER COMPANY AG,Widnau,Engineering,Protection jeans with innovative textiles,https://www.top100startups.swiss/ROKKER,2012
53,55,Atizo AG (acquired by Hyve),Bern,ICT,Virtual brainstorming platform with thousands of creative thinkers,https://www.top100startups.swiss/Atizo,2012
54,56,The Faction Collective,Le Châble,Engineering,"We design, produce and sell premium skis and outerwear",https://www.top100startups.swiss/The-faction,2012
55,57,HYT SA,Neuchâtel,Engineering,The hydro mechanical horlogists,https://www.top100startups.swiss/HYT,2012
56,58,Sensima Technology SA ,Gland,Engineering,Magnetic sensors on a micro-chip,https://www.top100startups.swiss/Sensima_Technology,2012
57,59,Run my Accounts AG,Stäfa,Fintech,Online accounting platform,https://www.top100startups.swiss/RunMyAccounts,2012
58,60,42matters AG ,Zurich,ICT,App Intelligence as SaaS,https://www.top100startups.swiss/42matters,2012
59,61,Scandit AG,Zürich,ICT,Smart Data Capture,https://www.top100startups.swiss/Scandit,2012
60,62,Qvanteq AG,Zürich,Medtech,Novel stent technologies to address and overcome clinical shortcomings,https://www.top100startups.swiss/Qvanteq,2012
61,63,senseFly SA ,Cheseaux-Lausanne,Robotics,Smart flying cameras,https://www.top100startups.swiss/senseFly,2012
62,64,Sherpany AG,Zürich,ICT,Productive leadership meetings,https://www.top100startups.swiss/Sherpany,2012
63,65,Imina Technologies SA,Lausanne,Engineering,World's smallest commercial nanomanipulators,https://www.top100startups.swiss/Imina,2012
64,66,CAScination AG,Bern,Medtech,Image-guided liver surgeries,https://www.top100startups.swiss/CAScination,2012
65,67,Sophia Genetics SA,Saint Sulpice,Biotech,Democratizing Data-Driven Medicine,https://www.top100startups.swiss/Sophia,2012
66,68,BEN Energy AG,Zürich,Cleantech,Socializing energy behavior,https://www.top100startups.swiss/BEN,2012
67,69,Politnetz AG,Zürich,ICT,Closely related idea of using Web 2.0 for politics,https://www.top100startups.swiss/Politnetz,2012
68,70,Andiast Technolgoies GmbH (smartie.ch),Zürich,ICT,Revolutionizing online insurance exchange,https://www.top100startups.swiss/smartie-ch,2012
69,71,Ampard AG ,Zürich,Cleantech,Control- and asset-management system to realize complex decentralized storage solutions,https://www.top100startups.swiss/Ampard,2012
70,72,Gastros Switzerland AG,Zurich,Foodtech,Innovative system induction based in order to keep food warm at a buffet,https://www.top100startups.swiss/Gastros,2012
71,73,FashionFriends AG (acquired by Tamedia),Langenthal,ICT,Online platform for local fashion designers.,https://www.top100startups.swiss/FashionFriends,2012
72,74,Sandbox AG,Zürich,ICT,Some organizations incubate companies - we incubate people.,https://www.top100startups.swiss/Sandbox,2012
73,75,RouteRank SA,Lausanne,ICT,IT solutions for travel and mobility,https://www.top100startups.swiss/RouteRank,2012
74,76,Pix4D SA (acquired by Parrot),Lausanne,ICT,Automatically combine images from mobile cameras and create 2D and 3D models,https://www.top100startups.swiss/Pix4D,2012
75,77,Andrew Alliance SA ,Vernier,Medtech,Androids for liquid handling,https://www.top100startups.swiss/AndrewAlliance,2012
76,78,GEROCO SA,Martigny,Cleantech,Helping people managing their home energy consumption,https://www.top100startups.swiss/GEROCO,2012
77,79,QGel SA,Lausanne ,Biotech,A novel hydrogel material,https://www.top100startups.swiss/QGel,2012
78,80,Pandora Underwater Equipment SA,Le Mont-Pélerin,Engineering,Diving devices for automated control of divers' ascent rate to increase safety,https://www.top100startups.swiss/PandoraUnderwaterEquipment,2012
79,81,kringlan composites AG,Otelfingen,Engineering,Development of high-performance thermoplastic composites.,https://www.top100startups.swiss/kringlan,2012
80,82,Adello AG,Zürich,ICT,Our mission is to quantify the drivers of physical business.,https://www.top100startups.swiss/Adello,2012
81,83,Telormedix SA,Bioggio,Biotech,Targeted immunity in the treatment of cancer and other diseases,https://www.top100startups.swiss/Telormedix,2012
82,84,Teralytics AG,Zürich,ICT,Turning complex data into valuable information,https://www.top100startups.swiss/Teralytics,2012
83,85,greenTEG AG,Rümlang,Cleantech,Experts in thermal sensing solutions for research & industry,https://www.top100startups.swiss/greenTEG,2012
84,86,senozon AG,Zürich,ICT,"Managing the development of MATSim, the worldwide leading agent based transport simulation",https://www.top100startups.swiss/senozon,2012
85,87,Slyde Watch SA,Luins,Engineering,The SLYDE concept is a revolutionary watchmaking experiment combining a high-technology product and an internet platform.,https://www.top100startups.swiss/Slyde,2012
86,88,The Thingle Group AG,Zürich,ICT,"Discover, collect and share the things you are passionate about.",https://www.top100startups.swiss/Thingle,2012
87,89,Augurix Diagnostics SA,Monthey,Medtech,"Companion diagnostics devices for gastroenterology, focused mainly on Celiac Disease and IBD",https://www.top100startups.swiss/Augurix,2012
88,90,Edimer Biotech SA,Epalinges,Biotech,"Significant and durable improvement in the health and quality of life to future generations affected by the rare genetic disorder, X-linked Hypohidrotic Ectodermal Dysplasia (XLHED).",https://www.top100startups.swiss/Edimer,2012
89,91,Elmove AG,Zürich,Cleantech,Innovative electric mobility solutions.,https://www.top100startups.swiss/Elmove,2012
90,92,RedElec Technologie SA,Monthey,Engineering,Electrochemical technology for redox transformations,https://www.top100startups.swiss/RedElec,2012
91,93,sensecore AG,Zürich,Biotech,Biomedical monitoring tools in the fields of sport and healthcare.,https://www.top100startups.swiss/Sensecore,2012
92,94,ServiceHunter AG (quitt.),Zürich,ICT,Easily register and administrate your domestic help.,https://www.top100startups.swiss/ServiceHunter,2012
93,95,SuitArt AG ,Zürich,ICT,Franchising System for Custom-made Men's Suit.,https://www.top100startups.swiss/SuitArt,2012
94,96,TrekkSoft AG,Matten bei Interlaken,ICT,SaaS solution for tour and activity companies,https://www.top100startups.swiss/TrekkSoft,2012
95,97,AirWinder Suisse Sàrl ,n/a,Engineering,ZERO-maintenance pneumatic bicycle tires,https://www.top100startups.swiss/AirWinder,2012
96,98,Mabimmune AG (merged with Neurimmune),Schlieren,Biotech,Developing immune agonists with best-in-class therapeutic indices,https://www.top100startups.swiss/Mabimmune,2012
97,99,Cilag GmbH International (former Covagen AG) ,Zürich-Schlieren,Biotech,Creating the next generation of biologics,https://www.top100startups.swiss/Covagen,2012
98,100,Luciole Medical AG (former NeMoDevices AG),Zürich,Medtech,Innovative neuromonitoring systems,https://www.top100startups.swiss/LucioleMedical,2012
