kanton_name,num_new_companies,num_new_companies_percent,num_employees,num_employees_percent,year,kanton
Waadt,3303,8.927750898721518,4371,8.680024624183332,2013,VD
Wallis,1230,3.3245938859907556,1630,3.3,2013,VS
Genf,2565,7,3593,7.135055702285681,2013,GE
Bern,3179,8.592588588263913,4210,8.36030740512739,2013,BE
Freiburg,1051,2.840770873314052,1432,2.843696010485136,2013,FR
Solothurn,836,2.259642673730302,1167,2.3174533828464763,2013,SO
Neuenburg,808,2.1839608616914883,1000,1.9858212363723018,2013,NE
Jura,251,0.6784333864907965,325,0.7,2013,JU
Basel-Stadt,1016,2.8,1433,2.8456818317215085,2013,BS
Basel-Landschaft,1012,2.7353569208314186,1308,2.5974541771749706,2013,BL
Aargau,2525,6.8248776927859005,3215,6.38441527493695,2013,AG
Zürich,7527,20.344892829148307,10149,20.1,2013,ZH
Glarus,107,0.2892126388626105,160,0.3177313978195683,2013,GL
Schaffhausen,338,0.9135875881828256,434,0.861846416585579,2013,SH
Appenzell Aus.,273,0.8,391,0.77645610342157,2013,AR
Appenzell Inn.,84,0.22704543611644185,116,0.230355263419187,2013,AI
St. Gallen,1771,4.786874611454984,2362,4.690509760311377,2013,SG
Graubünden,900,2.432629672676163,1181,2.3452548801556885,2013,GR
Thurgau,992,2.6812984836608376,1250,2.4822765454653775,2013,TG
Luzern,1434,3.875989945130686,2027,4.025259646126655,2013,LU
Uri,106,0.2865097170040814,202,0.40113588974720493,2013,UR
Schwyz,961,2.597507906046436,1360,2.7007168814663305,2013,SZ
Obwalden,178,0.4811200908181744,244,0.4845403816748416,2013,OW
Nidwalden,228,0.6162661837446279,307,0.6096471195662967,2013,NW
Zug,1421,3.8408519609698084,1979,4,2013,ZG
Tessin,2901,7.8411763115928315,4511,8.9,2013,TI
Waadt,3739,8.930874695456934,4920,8.83398570761662,2014,VD
Wallis,1462,3.4920938231500505,1974,3.6,2014,VS
Genf,2578,6.157741365308365,3692,6.629080331813121,2014,GE
Bern,3891,9.293937801557348,4851,8.710094444643946,2014,BE
Freiburg,1240,2.9618306023981273,1643,2.9500484791898587,2014,FR
Solothurn,1089,2.601156069364162,1328,2.384457930836356,2014,SO
Neuenburg,809,1.9323556107581332,1078,1.9355765432542107,2014,NE
Jura,294,0.7022404815363302,372,0.6679355047222322,2014,JU
Basel-Stadt,1292,3.0860364018535327,1708,3.0667576399612164,2014,BS
Basel-Landschaft,1323,3.1600821669134858,1700,3,2014,BL
Aargau,2694,6.434815841016577,3448,6.190972097532947,2014,AG
Zürich,8005,19.12052739693307,10551,18.94459008151686,2014,ZH
Glarus,160,0.38217169063201645,179,0.321399073508816,2014,GL
Schaffhausen,413,0.9864806764438924,493,0.8851940963119906,2014,SH
Appenzell Aus.,302,0.721349066067931,369,0.6625489280712464,2014,AR
Appenzell Inn.,96,0.22930301437920986,148,0.2,2014,AI
St. Gallen,2191,5.3,2840,5.0992925629331705,2014,SG
Graubünden,1047,2.5008360005732575,1324,2.3772758286350415,2014,GR
Thurgau,1144,2.7325275880189173,1541,2.7669048730563435,2014,TG
Luzern,1808,4.3185401041417855,2522,4.528315437928682,2014,LU
Uri,121,0.2890173410404624,188,0.33755880346177325,2014,UR
Schwyz,1016,2.4267902355133044,1490,2.675333069989586,2014,SZ
Obwalden,198,0.4729374671571204,265,0.47581427083707406,2014,OW
Nidwalden,198,0.4729374671571204,262,0.4704276941860883,2014,NW
Zug,1521,3.6330196340706062,2142,3.846015728803821,2014,ZG
Tessin,3235,7.727033869966082,4666,8.37792221783316,2014,TI
Waadt,4492,11.006836392149175,5841,10.556087687275225,2015,VD
Wallis,1698,4.160642963906789,2291,4.140386387869807,2015,VS
Genf,2962,7.2,4223,7.6319736865884735,2015,GE
Bern,3773,9.245056479870623,4826,8.72173928758607,2015,BE
Freiburg,1214,2.9746881968096837,1585,2.8644750871993203,2015,FR
Solothurn,924,2.2640954644581117,1224,2.2120615184428822,2015,SO
Neuenburg,854,2.0925730807870426,1015,1.834348399689155,2015,NE
Jura,311,0.7,396,0.7156669618491678,2015,JU
Basel-Stadt,1153,2.8252186910391806,1608,2.906041602660257,2015,BS
Basel-Landschaft,1069,2.619391830633898,1407,2.6,2015,BL
Aargau,2435,5.966528631986474,3116,5.631359225055572,2015,AG
Zürich,7269,17.81137438435716,10116,18.28203784360147,2015,ZH
Glarus,130,0.31854156967484254,178,0.3216886848715956,2015,GL
Schaffhausen,325,0.7963539241871064,450,0.8132579111922361,2015,SH
Appenzell Aus.,278,0.6811888951508172,348,0.6289194513219959,2015,AR
Appenzell Int.,77,0.18867462203817598,92,0.16626606184374604,2015,AI
St. Gallen,1915,4.692362353287104,2556,4.619304935571901,2015,SG
Graubünden,931,2.2812477028252185,1284,2.320495906601847,2015,GR
Thurgau,1094,2.6806498248021366,1455,2.7,2015,TG
Luzern,1792,4.390973021979368,2527,4.566894981295068,2015,LU
Uri,97,0.23768101737276717,135,0.2439773733576708,2015,UR
Schwyz,944,2.313101859792703,1312,2.3710986210760305,2015,SZ
Obwalden,180,0.5,249,0.4,2015,OW
Nidwalden,216,0.5292690696135847,286,0.5168705835577323,2015,NW
Zug,1482,3.7,2189,3.956047927999566,2015,ZG
Tessin,3196,7.8312219744676685,4624,8.356676847450888,2015,TI
Waadt,3845,9.842822035633832,5028,9.53952985371962,2016,VD
Wallis,1588,4.065123899242269,2115,4.01274972963743,2016,VS
Genf,2679,6.857976653696499,3780,7.17172292105413,2016,GE
Bern,3638,9.312922383780462,4751,9.01398296241486,2016,BE
